"patch_id","n_cells","area_m2","area_ha","severity_mean","severity_min","severity_max","first_idx_min","perimeter_m","shape_index"
186,220,423105327.375564,42310.5327375564,-25.2746626767975,-314.98087141339,-4.04225685981993,1,141444.980981542,1.93980628797602
470,11,21156214.617442,2115.6214617442,-14.8249717475204,-85.3514818140997,-3.3615091804747,1,38850.0354836358,2.38268980059865
41,10,19230557.0598791,1923.05570598791,-8.43366611236062,-20.93449760992,-3.95920804116102,1,47158.6397072104,3.03361459394585
29,10,19230471.8028767,1923.04718028767,-15.2444029279795,-52.5589338198034,-4.10440288390436,1,38810.6743147835,2.49661334002863
450,9,17309619.6288452,1730.96196288452,-14.0234112447313,-49.3190304618408,-4.43774324966387,1,30501.0675094979,2.06807528844738
442,9,17309612.590684,1730.9612590684,-7.8927694061926,-14.7450999324129,-4.386701925373,1,36048.4005608041,2.44420368306686
136,9,17308367.0259733,1730.83670259733,-14.6999540473316,-26.4214360883996,-5.38803259640024,1,41594.3433800475,2.8203388695644
278,8,15385994.1927873,1538.59941927873,-7.34732529356787,-10.1366219696297,-3.09843796854129,1,33283.6799795229,2.3936663995384
228,8,15385755.0752927,1538.57550752927,-19.2426374950942,-78.5933294324166,-5.74158415841584,1,41595.0298229184,2.99141798696159
140,8,15385191.9413599,1538.51919413599,-9.97693862226354,-36.7107890499195,-4.67790369023766,1,24971.3116245789,1.79591163049326
98,7,13461822.9996957,1346.18229996957,-13.1734400011572,-23.2210346301838,-5.19799146422865,1,30499.8145090507,2.34498639871605
73,7,13461662.105962,1346.1662105962,-41.9299041695186,-238.657528089888,-4.08601098352471,1,30499.6484557389,2.34498764517879
6,7,13461160.7194025,1346.11607194025,-7.82418580961028,-13.5703692644571,-3.642389091526,1,30517.3514644691,2.34639245058171
11,7,13461132.8350453,1346.11328350453,-9.78053551505714,-21.7113531832486,-3.81075660893345,1,36064.272963469,2.77288235712798
448,6,11539741.1331848,1153.97411331848,-10.6126725149826,-16.1723323890463,-5.3206296827243,1,24953.7197532942,2.07220314296104
440,6,11539737.836831,1153.9737836831,-22.0084618180672,-61.1913276080529,-5.55341919432147,1,22207.9870627867,1.84419267420256
409,6,11539705.0514878,1153.97050514878,-9.13482480217852,-14.7585597959384,-4.0736341531642,1,19424.970493341,1.61308807807942
391,6,11539690.7079079,1153.96907079079,-7.11434203813754,-10.0553236300726,-4.02769328921794,2,22189.3143842356,1.84264582287943
349,6,11539638.8572413,1153.96388572413,-11.8307346523287,-21.7140152020269,-7.07617011373884,1,27736.5782654267,2.30330707921318
298,6,11539527.6725076,1153.95276725076,-7.04270304753281,-11.5742681846298,-3.85909159613059,1,24972.0877318868,2.07374763400047
286,6,11539498.0945657,1153.94980945657,-9.06003014093171,-15.8705186298218,-4.39113533254269,1,19424.7662304936,1.6130855805599
256,6,11539427.5352147,1153.94275352147,-7.48595518037178,-11.1861639488234,-5.59342734588521,1,24971.9625064248,2.07374623270909
247,6,11539369.092199,1153.9369092199,-15.2316203278102,-25.4548343168407,-6.06219383642339,1,19424.6453608334,1.6130845597369
237,6,11539351.8087643,1153.93518087643,-8.37046549299998,-13.9157105288789,-3.46383081189697,1,27736.240392358,2.30330766904627
230,6,11539319.8255183,1153.93198255183,-16.0502668656391,-30.8665494797853,-4.93528112790895,1,27736.1940035159,2.30330700876861
192,6,11539121.7793219,1153.91217793219,-8.5376656026797,-12.4535904366484,-3.53626107977438,1,22170.3006657257,1.8411122707191
134,6,11538819.4108879,1153.88194108879,-15.0329161689995,-58.1162692551171,-4.07467267443759,1,22206.8679469401,1.84417312932366
446,5,9616451.74613655,961.645174613655,-11.8002649030302,-22.1895910780669,-5.31191431421519,1,24972.3481124474,2.27167929627713
342,5,9616353.65746295,961.635365746295,-16.4599476684204,-41.7586958049329,-3.45969080038979,1,16641.9402004179,1.51388822718575
320,5,9616319.89221188,961.631989221188,-8.32240896070538,-13.5839734357497,-3.77522990660169,1,13858.9636983277,1.26072792990255
303,5,9616284.07791588,961.628407791588,-6.68717909227995,-14.0474544841537,-3.31949667037792,1,19406.2368848677,1.76535785412086
225,5,9616056.36394598,961.605636394598,-13.5920984916273,-40.0544824170381,-5.08001909953644,1,24971.7734752585,2.27167372342502
217,5,9616029.19159985,961.602919159985,-18.5494434304122,-46.6924197189252,-4.89413907787423,1,22188.8799829677,2.01851770264819
197,5,9615938.4984618,961.59384984618,-11.0961549237368,-23.7968303346225,-4.08572821747478,1,19424.4129709399,1.76704305821121
183,5,9615880.94673929,961.588094673929,-10.50312217573,-21.2992952682295,-4.43153663951406,1,19424.3421846553,1.76704190667874
158,5,9615815.28800477,961.581528800477,-27.8027398891726,-71.9653312019183,-4.54655517812037,1,19405.8253975077,1.76536345259632
80,5,9615477.55267461,961.547755267461,-14.3870759811733,-27.5791666666667,-7.76366238188054,1,19423.8690399513,1.76703592916309
65,5,9615417.06178024,961.541706178024,-9.88356979906042,-16.8915768131969,-3.61614841330551,1,24952.5427611852,2.26999977112163
34,5,9615226.3244848,961.522632448479,-13.1491642646729,-26.7161424744518,-3.43120042305658,1,22187.9403929587,2.01851649568144
26,5,9615179.37529537,961.517937529537,-10.0051552952088,-18.2096949209132,-3.37015480990379,1,19423.5271581788,1.76703222553627
14,5,9615117.81581607,961.511781581607,-9.63984009575274,-20.1972813810907,-3.63555829702347,1,19405.2255269747,1.76537290770996
